"序号","网址","发帖大类","发帖小类","发帖标题","发帖内容","发帖人","发帖日期","发帖类型","分词结果"
1,http://bbs.cehome.com/thread-1151030-1-1.html,挖掘机专区,我爱我挖,展翅飞翔,好前途,心情,2017-11-28,,展翅飞翔 好 前途
2,http://bbs.cehome.com/thread-1151029-1-1.html,我与工程机械,故障咨询,求各位甲友大神指点,一点水那个红光。就报警，一直响。熄火在开就没事。请教各位甲友大神指点。机子是卡特307v2。,小痕,2017-11-28,,求 各位 甲 友 大神 指点 一点 水 那个 红光 。 就 报警 ， 一直 响 。 熄火 在 开 就 没事 。 请教 各位 甲 友 大神 指点 。 机子 是 卡特 307v2 。
3,http://bbs.cehome.com/thread-1151024-1-1.html,挖掘机专区,我爱我挖,准备干架了，,太远了，手机不行，不知道那挖友玩铁甲没有,孤独的挖机,2017-11-28,,准备 干 架了 ， 太 远了 ， 手机 不行 ， 不知道 那 挖 友 玩 铁甲 没有
4,http://bbs.cehome.com/thread-1151021-1-1.html,我与工程机械,推土机,【一起来 就现在】,,璀璨夜空,2017-11-28,,【 一 起来   就 现在 】 
5,http://bbs.cehome.com/thread-1151019-1-1.html,我与工程机械,资料分享,307d,锈的真紧,15152273473,2017-11-28,卡特,307d 锈 的 真紧
6,http://bbs.cehome.com/thread-1151010-1-1.html,挖掘机专区,我爱我挖,活动啊,你们的车贴都到了，为什么我们的还没有到，是不是像T恤一样，泡汤了,万般努力只为出人头地,2017-11-28,,活动 啊 你们 的 车 贴 都 到了 ， 为什么 我们 的 还没有 到 ， 是不是 像 T 恤 一样 ， 泡汤 了
7,http://bbs.cehome.com/thread-1151008-1-1.html,挖掘机专区,我爱我挖,请教贴，加班费,老板给1小时10块钱，我觉得是打发要饭的。大家觉得多少比较合理，因为一天从早上6点半到晚上6点，不休息。吃饭都是换班的。晚上还要加班，一个小时10块钱，太少了。而且也不想干,连云港三把刀,2017-11-28,,请教 贴 ， 加班费 老板 给 1 小时 10 块钱 ， 我 觉得 是 打发 要饭的 。 大家 觉得 多少 比较 合理 ， 因为 一天 从 早上 6 点 半 到 晚上 6 点 ， 不 休息 。 吃饭 都是 换班 的 。 晚上 还要 加班 ， 一个 小时 10 块钱 ， 太 少了 。 而且 也 不想 干
8,http://bbs.cehome.com/thread-1151006-1-1.html,挖掘机专区,我爱我挖,美,这活做着舒服，施工员不见了。,八个动作半个人生,2017-11-28,,美 这 活 做着 舒服 ， 施工员 不见了 。
9,http://bbs.cehome.com/thread-1151004-1-1.html,挖掘机专区,我爱我挖,冷啊,不想起床,残～忆～阳,2017-11-28,,冷 啊 不想 起床
10,http://bbs.cehome.com/thread-1151003-1-1.html,挖掘机专区,我爱我挖,倒 倒 倒,,瘋子或是儍子,2017-11-28,,倒   倒   倒 
